Customer ID,Dummy_Customer_id,Gender_Converted,Age,Age_Bucket_Converted,Married_converted,Number of Dependents,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Tenure_bucket_converted,Offer_Converted,Phone_Service Converted,Avg Monthly Long Distance Charges,Multiple_lines_woe,Internet Service Converted,Internet_type_converted,Avg Monthly GB Download,Online_Security_Woe,Online_Backup_woe,Device_Protection_Plan,Premium Tech Support,Streaming_Tv_woe,Streaming_movie_woe,Streaming_music_woe,Unlimited_Data_Converted,Contract_Converted,PaperLess_Biling_woe,Payment_method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Target
0002-ORFBO,1,-0.02,37,0.19,0.39,0,93225,34.827662,-118.999073,2,9,-0.78,-0.03,-0.01,42.39,0.08,-0.26,1.51,16,-0.69,0.27,-0.58,0.7,-0.17,-0.34,-0.35,-0.2,1.1,-0.34,0.76,65.6,593.3,0,0,381.51,974.81,0
0003-MKNFE,2,0.02,46,0.13,-0.31,0,91206,34.162515,-118.203869,0,9,-0.78,-0.03,-0.01,10.69,0.08,-0.26,0.05,10,-0.69,-0.61,-0.58,-0.7,-0.33,-0.17,-0.14,-0.3,-0.9,0.62,0.76,-4,542.4,38.33,10,96.21,610.28,0
0004-TLHLJ,3,0.02,50,0.13,-0.31,0,92627,33.645672,-117.922613,0,4,-0.78,-1.14,-0.01,33.65,0.08,-0.26,-0.64,30,-0.69,-0.61,0.22,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,73.9,280.85,0,0,134.6,415.45,1
0011-IGKFF,4,0.02,78,-0.4,0.39,0,94553,38.014457,-122.115432,1,13,-0.78,-0.01,-0.01,27.82,0.08,-0.26,-0.64,4,-0.69,0.27,0.22,-0.7,-0.17,-0.17,-0.35,-0.2,-0.9,-0.34,-0.35,98,1237.85,0,0,361.66,1599.51,1
0013-EXCHZ,5,-0.02,75,-0.4,0.39,0,93010,34.227846,-119.079903,3,3,-0.78,-0.03,-0.01,7.38,0.08,-0.26,-0.64,11,-0.69,-0.61,-0.58,0.7,-0.17,-0.34,-0.35,-0.2,-0.9,-0.34,0.76,83.9,267.4,0,0,22.14,289.54,1
0013-MHZWF,6,-0.02,23,0.19,-0.31,3,95345,37.581496,-119.972762,0,9,-0.78,-1.14,-0.01,16.77,0.08,-0.26,0.05,73,-0.69,-0.61,-0.58,0.7,-0.17,-0.17,-0.14,-0.2,-0.9,-0.34,0.76,69.4,571.45,0,0,150.93,722.38,0
0013-SMEOE,7,-0.02,67,-0.4,0.39,0,93437,34.757477,-120.550507,1,71,1.63,1.61,-0.01,9.96,0.08,-0.26,-0.64,14,0.75,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,-0.34,-0.35,109.7,7904.25,0,0,707.16,8611.41,0
0014-BMAQU,8,0.02,52,0.13,0.39,0,94558,38.489789,-122.27011,8,63,1.63,0.95,-0.01,12.96,0.08,-0.26,-0.64,7,0.75,-0.61,-0.58,0.7,-0.33,-0.34,-0.35,-0.3,2.6,-0.34,0.76,84.65,5377.8,0,20,816.48,6214.28,0
0015-UOCOJ,9,-0.02,68,-0.4,-0.31,0,93063,34.296813,-118.685703,0,7,-0.78,-1.14,-0.01,10.53,0.08,-0.26,0.46,21,0.75,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,2.6,-0.34,-0.35,48.2,340.35,0,0,73.71,414.06,0
0016-QLJIS,10,-0.02,43,0.13,0.39,1,95681,38.984756,-121.345074,3,65,1.63,-0.03,-0.01,28.46,0.08,-0.26,0.05,14,0.75,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,-0.34,0.76,90.45,5957.9,0,0,1849.9,7807.8,0
0017-DINOC,11,0.02,47,0.13,-0.31,0,92091,32.99356,-117.207121,0,54,0.67,-0.03,0.08,,0.08,-0.26,0.05,10,0.75,-0.61,-0.58,0.7,-0.17,-0.34,-0.35,-0.2,2.6,0.62,0.76,45.2,2460.55,0,0,0,2460.55,0
0017-IUDMW,12,-0.02,25,0.19,0.39,2,94086,37.378541,-122.020456,2,72,1.63,-0.03,-0.01,16.01,0.08,-0.26,-0.64,59,0.75,0.27,0.22,0.7,-0.17,-0.17,-0.14,-0.2,2.6,-0.34,0.76,116.8,8456.75,0,0,1152.72,9609.47,0
0018-NYROU,13,-0.02,58,0.13,0.39,0,95843,38.715498,-121.363411,0,5,-0.78,-0.03,-0.01,18.65,0.08,-0.26,-0.64,10,-0.69,-0.61,-0.58,-0.7,-0.33,-0.34,-0.35,-0.2,-0.9,-0.34,-0.35,68.95,351.5,0,0,93.25,444.75,0
